일자,언론사,제목,senti_score,senti_label
20251130,중도일보,"서산시 인지면 새마을남녀지도자협의회, '사랑의 김장 나눔'으로 사랑 전달",5,positive
20251130,YTN,"""나 혼자 살다 죽다""...고독사 늘고 고립은 심화",-1,negative
20251130,YTN,'나혼자 산다' 36%...국민 5명 중 1명 노인,-1,negative
20251130,중도일보,"서산시, 2025년 찾아가는 보건복지 서비스 우수사례 시상식 개최",1,positive
20251130,중도일보,증평지역 기관 단체의 그침 없는 이웃 사랑 귀감,3,positive
20251130,중도일보,"괴산 지역사회단체, 주민 복지 향상에 앞장",-1,negative
20251130,울산신문,"롯데삼동복지재단, 올해 울산 따뜻한 겨울나기 1억5천만원 후원",0,neutral
20251130,울산신문,동구 권역별 마을관리소 확대 운영 취약계층 주거환경 개선 도움,2,positive
20251130,대구신문,"문경시청 환경공무직, 연탄 나눔 봉사활동",4,positive
20251130,YTN,"[자막뉴스] ""유튜브는 꺼주세요""...외신도 주목한 한국 식당 안내문",0,neutral
20251130,대구신문,"대구신세계백화점, 김장김치 담그기 행사",1,positive
20251130,충청일보,"괴산군 흰여울봉사단, 난방 취약 독거노인에 연탄 500장 전달",-2,negative
20251130,충청일보,"서산시 인지면, 새마을남녀지도자협의회'사랑의 김장 나눔'훈훈",3,positive
20251130,충청일보,"서산시, 올해 찾아가는 보건복지 서비스 우수사례 시상식",0,neutral
20251130,충청일보,"도안면 지역사회보장협의체 ㈜우진산전, 이웃돕기 김장나눔 개최",-1,negative
20251130,동양일보,괴산군 흰여울 봉사단 이웃 보듬었어요,4,positive
20251130,경남일보,"함안 대산면 지사보협 적십자봉사회 청년회, 고추장 나눔",7,positive
20251130,경남일보,"함안군, 취약계층 사랑의 땔감 나누어주기",0,neutral
20251130,광주매일신문,"전남 어르신지킴이단, 역량 강화 워크숍 성료",6,positive
20251130,광남일보,"광주 서구아너스, 취약계층에 ‘따숨택배’ 전달",0,neutral
20251130,경북도민일보,"포항 상대동 김장나눔 행사, 취약계층에 김치 전달",3,positive
20251130,머니투데이,18년 섬 주민 돌본 최명석 신안대우병원장 등 '김우중 의료인상' 수상,-2,negative
20251130,전남일보,순천시 연말연시 '희망2026나눔캠페인' 전개,6,positive
20251130,매일경제,1인 가구 800만 노인 1000만 돌봄 복지 모델 재설계해야 [사설],0,neutral
20251130,동양일보,"""100여명 함께 버무리고 담고 나누고""",2,positive
20251130,경북도민일보,"대구한의대, 대구가톨릭대와 12년째 지역 소외계층에 연탄나눔 이어가",0,neutral
20251130,헤럴드경제,"오세훈 지시 탑골공원 장기판, 낙원상가서 부활",-1,negative
20251130,남도일보,"여수광양항만공사, 복지부 '지역사회공헌 인정제' 3년 연속 최고등급",6,positive
20251130,경북도민일보,"포항시 해도동, 외로운 이웃을 살피는 ‘고독사 ZERO 캠페인’ 펼쳐",4,positive
20251130,충북일보,"예쁜가위손 이용원 조상길 기능장, 청주시 영운동에 55만원 기탁",6,positive
20251130,대전일보,영동군 매곡면 지역사회보장협의체 고추장나눔행사,3,positive
20251130,대전일보,"서산시, '찾아가는 보건복지 서비스' 우수사례 시상식 개최",5,positive
20251130,대전일보,"서산 인지면 새마을남녀지도자協, 800포기 '사랑의 김장 나눔' 성료",4,positive
20251130,대전일보,보은 산외면 취약계층어르신 장수사진촬영지원,-1,negative
20251130,디지털타임스,"천안, AI 스마트시티로 도약한다 이세돌 구글 AWS 세일즈포스 한자리에",2,positive
20251130,충북일보,"""인생 한 컷을 선물합니다"" 보은 산외면, 어르신 장수사진 촬영 봉사",3,positive
20251130,충북일보,"매콤달콤한 온정 한 스푼 매곡면, 손맛 담은 고추장 나눔",4,positive
20251130,동아일보,"광주 서구아너스, 겨울나기 따숨택배 전달",0,neutral
20251130,강원일보,‘함께 나누는 따뜻한 마음’ 2025 북삼동 사랑의 김장나누기,3,positive
20251130,금강일보,"서산시, 2025년 찾아가는 보건복지 서비스 우수사례 시상",2,positive
20251130,남도일보,"서구아너스, 취약계층에 방한용품 전달",1,positive
20251130,금강일보,"영동군 매곡면지역사회보장협의체, 찾아가는 행복 나눔 특화사업 추진",3,positive
20251130,충청타임즈,"홍성군, 의료취약지 원격협진사업 2년연속 우수기관 선정",5,positive
20251130,충청타임즈,"충남도의회 보건복지환경위, 복지정책 재정운용 투명성‧책임성 강조",-1,negative
20251130,국민일보,"인천시, 외로움돌봄국 신설 등 보건복지 정책 강화",-3,negative
20251130,충청타임즈,"서산시, 2025년 찾아가는 보건복지 서비스 우수사례 시상",0,neutral
20251130,금강일보,"서산시 인지면 새마을회, '사랑의 김장 나눔'호응",5,positive
20251130,전북도민일보,"전주 금암노인복지관, ‘2025 김장 나눔 행사’ 실시",5,positive
20251130,영주시민신문,"장수면 어르신 손맛, 김장김치로 이웃에 전하다",7,positive
20251130,국민일보,"한국 고아 돌봤던 일본 출신 윤학자의 삶 음악극 ‘공생,원’",2,positive
20251130,스포츠서울,"속초시, 2025년 사회적 고립 및 고독사 예방 포럼 개최",5,positive
20251130,한국경제,"세금으로 만든 '노인 일자리' ""퇴직금도 달라"" 요구에 결국 [곽용희의 인사노무노트]",0,neutral
20251130,중앙일보,MP3엔 성시경 노래 있었다 집주인 놀란 죽은 청년의 '배려',0,neutral
20251129,경북일보,"문경 환경공무직, 회비 모아 연탄 1200장 전달 취약계층 겨울 책임졌다",-1,negative
20251129,경북일보,"군위 산성면 새마을회, 김장 3R 실천으로 따뜻한 공동체 만들다",11,positive
20251129,쿠키뉴스,"K-불꽃 함안낙화놀이, 국내 최고 관광 콘텐츠로 인정받아",3,positive
20251129,KBS,구세군 자선냄비 시종식 연말까지 모금,0,neutral
20251129,메트로경제,"부산 해운대구, 찾아가는 보건복지사업 성과 공유회 개최",2,positive
20251129,서울경제,"""노후자금 4억 있어도 소용없네"" 태국으로 '은퇴 이민' 떠난 노부부, 결국",1,positive
20251129,국민일보,"가수 나정욱 “독거어르신 위한 연말공연, 따뜻한 환호에 감동”",10,positive
20251129,파이낸셜뉴스,"코리아에셋투자證, 이삭의집 '사랑의 푸드트럭' 나눔활동",6,positive
20251129,경상일보,"울주군 서부종합사회복지관, 고독사 예방교육 '이웃의 관심이 생명 지킨다'",6,positive
20251129,브레이크뉴스,"전남도, 어르신지킴이단 소통 워크숍 개최",6,positive
20251129,이데일리,"코리아에셋투자증권, 이삭의집 '사랑의 푸드트럭' 나눔활동",6,positive
20251129,매일경제,"“밥 한 끼에 담은 진심” 코리아에셋투자증권, ‘사랑의 푸드트럭’ 나눔 진행",-1,negative
20251129,아시아경제,"광주 서구아너스, 취약계층에 '겨울나기 따숨택배' 전달",0,neutral
20251129,미디어오늘,"검찰 패스트트랙 항소 포기, 경향신문 ""누가 납득 하겠나""",-2,negative
20251129,노컷뉴스,오세훈표 '동행'일자리 따뜻한 '선순환' 약자가 약자돕게,8,positive
20251129,동아일보,‘요양원’ 아닌 ‘우리들의 실버 아파트’ “함께하니 우울증도 ‘싹’”,7,positive
20251129,동아일보,젊은 자원봉사자가 집수리 돕고 세대 간 교류 늘려 고립 막아,4,positive
20251129,조선일보,"‘대지진 땅’에 돋은 치유의 길... 곰 대신, 곰 닮은 남자를 만났다",4,positive
20251129,동아일보,[사설]고독사 절반이 5060 男 ‘낀 세대’의 그늘,-1,negative
20251129,브릿지경제,"인천시, 시민 중심 복지 혁신으로 삶의 질 향상",5,positive
20251129,브릿지경제,"광주 서구아너스, 난방 취약계층에 ‘겨울나기 따숨택배’ 전달",2,positive
20251129,브릿지경제,"외국인과 함께한 인천경제청 김장 체험, 한국 문화와 정 나누다",0,neutral
20251129,브릿지경제,"LIG넥스원, 협력사와 ‘김장김치 나눔 행사’ 개최",3,positive
20251128,중도일보,"김포시, 2025년 명예사회복지공무원 위촉 및 역량강화 교육",8,positive
20251128,브레이크뉴스,"홍성군, 겨울철 '한랭질환' 비상감시 가동 고령층 맞춤 대응 강화",-4,negative
20251128,광주일보,광주 전남 5년간 1129명 쓸쓸한 임종,0,neutral
20251128,KBS,"부산 노사정, 연탄 라면 나눔 봉사",0,neutral
20251128,KBS,‘찾아가는 돌봄’ 시급 기술로 한계 넘어야,1,positive
20251128,중도일보,"홍성군, 원격협진 사업 2년 연속 장관표창",6,positive
20251128,중도일보,"예산군 덕산면새마을협의회, '사랑의 김장 나눔'",2,positive
20251128,중도일보,"서산시 동문1동과 고북면, '사랑의 김장 나누기' 행사 개최",8,positive
20251128,중도일보,"'또봉이통닭 예산벚꽃로점', 저소득층에 치킨 정기 나눔",0,neutral
20251128,중도일보,"예산군, 고독사 위험가구생필품 전달",3,positive
20251128,중도일보,"고창군, 고독사 사전 차단 역량집중",4,positive
20251128,프레시안,"한전 강원본부, 노사합동 ‘사랑의 김장나눔’ 봉사활동",3,positive
20251128,광남일보,"전력거래소, 지역사회공헌 인정제 2년 연속 ‘S등급’",7,positive
20251128,서울경제,'고령친화도시' 정부가 지정한다 선정되면 '복지 인센티브',1,positive
20251128,브레이크뉴스,"증평 도안면 지사협의체, ㈜우진산전과 김장나눔 행사 진행",1,positive
20251128,인천일보,"미리 보는 내년 인천시 보건복지 여성가족 정책 유 시장 ""3대가 행복한 도시를""",6,positive
20251128,데일리안,"인천시, 시민 체감도 높은 보건복지 추진 3대(代)가 행복한 인천 구현",0,neutral
20251128,광남일보,"전남 어르신지킴이단, 고독사 안전돌봄 강화",6,positive
20251128,강원일보,"쌍용C&E 동해공장, 사랑의 김장담그기 나눔 행사 동참  ",2,positive
20251128,매일경제,"LIG넥스원 - 협력사, 취약계층에 김장김치 나눔",1,positive
20251128,이데일리,"유정복 인천시장 “복지 강화, 3대가 행복한 도시 만들 것”",7,positive
20251128,중부매일,홍성군 각종 성과 결실 농업 의료 등 우수 지자체로 '우뚝',4,positive
20251128,아시아투데이,취약계층 겨울 난방 지원 확대 '겨울나기' 관계부처 합동대책,-5,negative
20251128,강원일보,한국전력 강원본부 사랑의 김장 나눔 봉사활동,3,positive
20251128,쿠키뉴스,"사천시, 2025년 동절기 종합대책 가동 6개 분야 24개 대책 마련",-3,negative
20251128,서울신문,장태용 서울시의회 행정자치위원장 “주민이 만드는 도시혁신”  주민자치 성과공유회 참석,3,positive
20251128,브레이크뉴스,"한국전문언론인협회, 전상현 (株)에코플라이 총괄이사에게 ‘혁신리더대상’ 수여",6,positive
20251128,부산일보,"부산 서구 동대신1동, 고독사 예방 ‘동 반 자’ 특화사업 실시",1,positive
20251128,충청일보,"유성구의회, 생활 현안 점검 운영 체계 전반 재설계 요구",5,positive
20251128,부산일보,"동래구 온천1동, 숙박업 종사자 대상 ‘둥지보듬단’ 간담회 실시",10,positive
20251128,서울신문,"서울 중구, 고립 위험 1인가구 131명 발굴",2,positive
20251128,부산일보,"시티캅, 동래구에 성금 300만 원 기탁",2,positive
20251128,부산일보,"사하구 장림1동 새마을부녀회, '사랑의 김장나누기 행사' 개최",3,positive
20251128,부산일보,"해운대구, ‘찾아가는 보건복지사업 성과공유회’ 개최",2,positive
20251128,충청일보,"영동군 매곡면 지역사회보장협의체, 저소득 노인 40가구에 '손맛 나눔'",4,positive
20251128,부산일보,"부산진구자원봉사센터, ‘자원봉사캠프 평가회 및 보수교육’ 실시",2,positive
20251128,부산일보,"부산 북구 한국자유총연맹 구포3동위원회, 연말맞이 사랑의 밑반찬 나눔",-3,negative
20251128,매일경제,"LIG넥스원, 협력사와 함께 취약계층에 김장김치 나눠",1,positive
20251128,전북도민일보,"전주예수비전교회, 중화산2동에 라면 100박스 기탁",-8,negative
20251128,주간한국,"예산군 덕산면새마을협의회, '김장 나눔행사' 개최",2,positive
20251128,중부일보,[금주의 안산시] 동문디이스트경로당 개소 어르신 여가 복지 공간 마련 外,-1,negative
20251128,충청일보,"예산군 예산읍 '또봉이통닭 예산벚꽃로점', 저소득층에 치킨 정기 후원",1,positive
20251128,이데일리,"전력거래소, 지역사회공헌 2년 연속 ‘최고 등급’",7,positive
20251128,이투데이,"KMI한국의학연구소, 올해도 전국 취약계층에 연탄 3만8000여 장 나눔",2,positive
20251128,매일신문,"서변숲도서관, 정리수납 재능기부 자원봉사 운영",2,positive
20251128,중부일보,"[금주의 안양시] 안양시,경기도 폭염대응 종합평가 우수기관 선정 外",12,positive
20251128,뉴스핌,"전력거래소, 지역사회공헌 'S등급' 2년 연속 확보",9,positive
20251128,대한경제,"[부산 브리핑 모음(11월28일)] 부산항, AI 스마트항만 구현 속도낸다... 현대차와 기술 협력 본격화 등",0,neutral
20251128,이투데이,"LIG넥스원, 협력사와 사랑의 김장김치 나눔 행사 개최",3,positive
20251128,파이낸셜뉴스,"LIG넥스원, 취약 계층에 김치 2.3만 포기 나눴다",6,positive
20251128,머니투데이,"LIG넥스원, '2025 사랑의 김장김치 나눔 행사' 개최",3,positive
20251128,노컷뉴스,"순천소방서, 동절기 위기가구 집중 점검 지원",2,positive
20251128,충청일보,"예산군, 고독사 위험군 예방 위한 생필품 전달 사업 추진",2,positive
20251128,데일리안,"전력거래소, 2025년 지역사회공헌 인정제 2년 연속 '최고 등급' 획득",5,positive
20251128,스포츠서울,"춘천시, 우유로 안부 전하는 후평1동 돌봄체계 ‘호평’",1,positive
20251128,서울신문,"심미경 서울시의원 “중장기 재정사업 이월 불용 반복, 복지예산 중복 누락 무책임한 예산 수립 관행 타파해야”",0,neutral
20251128,KBS,집이 더 외로운 노인들 노인 고립 우려,1,positive
20251128,경상일보,"울산 동구, 취약계층 500세대에 겨울나기 '안녕(安寧)키트' 지원",-1,negative
20251128,KBS,지난해 고독사 3천9백여 명 “50~60대 남성 가장 취약”,0,neutral
20251128,KBS,지난해 고독사 3천9백여 명 “50~60대 남성 가장 취약”,-3,negative
20251128,노컷뉴스,추경호 체포동의안 가결 돌아올수 있을까[뉴스쏙:속],-4,negative
20251128,MBC,고독사 3천9백여 명 10명 중 8명 남성,0,neutral
20251128,문화일보,"성북구, ‘2025 노인맞춤돌봄서비스 지자체 평가’ 우수상",5,positive
20251128,파이낸셜뉴스,고독사 절반이 '5060 남성'...집주인 경비원에게 발견되는 '쓸쓸한 죽음',-1,negative
20251128,문화일보,"‘위기의 중년 남성’ 지난해 고독사 10명 중 8명은 남성, 50 60대 가장 많아",-1,negative
20251128,프레시안,"""노인일자리 참여자 1만1000명 모집합니다"" 익산시 2026년 계획 발표",2,positive
20251128,서울경제,지난해 고독사 4000명 5060 남성 가장 취약했다[Pick코노미],4,positive
20251128,중앙일보,3만5000명 목숨 앗아간 대역병 그 후 잊혀진 '연결의 힘' [창간기획 대한민국 '트리거60'<55>],-2,negative
20251128,머니투데이,"혼자 살다, 혼자 떠난다...마지막 길도 쓸쓸, 작년 고독사 3924명",-1,negative
20251128,동아일보,작년 고독사 3924명 절반 이상이 5060 남성,0,neutral
20251128,동아일보,‘주거-요양-의료’ 통합 실버케어 구현,1,positive
20251128,서울신문,[씨줄날줄] 50대 김부장,2,positive
20251128,서울신문,매일 10명 넘게 ‘외로운 죽음’ 3924명 중 82%가 남자였다,1,positive
20251128,국민일보,[바이블시론] 심리상담법 제정이 답이다,2,positive
20251128,국제신문,[시사난장] 통합돌봄 현장 아직 멀었다,2,positive
20251128,경기일보,"경기일보 경기알파팀 박귀빈기자, 자살 예방 우수보도상 ‘영예’",10,positive
20251128,경남신문,김해 동절기 종합대책 가동,0,neutral
20251128,경북일보,"상주 이안면 이수재 이장, 제37회 아산상 '효행가족상' 수상",3,positive
20251128,경북일보,경북 대구 고독사 중장년 남성 중심 증가세,1,positive
20251128,브릿지경제,"봉화군여성단체, 김장김치로 지역에 온정 전하다",4,positive
20251128,경북일보,"영덕군, 2026년도 본예산 6136억 편성 3년 연속 6천억대 유지",0,neutral
20251127,한겨레21,"의료차별 맞서고, 열무김치 나누고 HIV 감염인이 감염인 돌보는 ‘서로돌봄’",-11,negative
20251127,내일신문,"고양시생활개선회, 김장김치 나눔으로 따뜻한 농촌공동체 만들기 실천",6,positive
20251127,중도일보,"기장군 여성단체협의회, 700포기 김장 담가 이웃 사랑 실천",8,positive
20251127,중도일보,"연천군 장남면 새마을지도자협의회, 겨울 이불 전달",1,positive
20251127,중도일보,"""김치로 온기 전해요"" 취약계층에 힘 보탠 태안군 자원봉사자들",0,neutral
20251127,중도일보,"영동우체국 한우송 집배원, 독거노인에 사랑의 연탄 전달",-3,negative
20251127,중도일보,"예산군 대술면지역사회보장협의체, 생필품 꾸러미 연탄나눔",2,positive
20251127,경향신문,[사유와 성찰]칭찬이라는 시험,2,positive
20251127,SBS,"지난해 고독사 3,900여 명 전년 대비 7% 늘었다",0,neutral
20251127,매일경제,"5060 남자들, 고독사로 떠났다 지난해 사망자 2100명 ‘최다’",-1,negative
20251127,경남일보,"창원 성산구 ""내실 있는 구정 운영으로 시민 삶의 질 향상""",5,positive
20251127,대구신문,"고령군 새마을부녀회, 김장 담가주기 행사",9,positive
20251127,대구신문,대구 강북소방 의흥여성의용소방대 김장 나눔,6,positive
20251127,동양일보,"남양유업세종공장, 100만원 상당 김치 150㎏ 기부",2,positive
20251127,이데일리,[미리보는 이데일리 신문] LG 투톱 교체 쇄신 칼 뺐다,6,positive
20251127,경향신문,‘고독사’ 작년 7% 늘어 3924명 남성이 5배 이상 많았다,2,positive
20251127,광주매일신문,"광주충장신협, 난방용품 지원 등 ‘나눔 캠페인’",1,positive
20251127,OBS,[1분 뉴스] 지난해 고독사 4천 명 육박 경기 60대 최다,0,neutral
20251127,데일리안,홍콩서 77년 만에 최악의 화재 참사 사망 55명 실종 279명,-2,negative
20251127,충청타임즈,은퇴 → 고립 → 은둔  고독사 절반 `5060男',-2,negative
20251127,경향신문,민들레 솜털처럼 外[새책],1,positive
20251127,한겨레,고독사 작년 4천명 육박 2명 중 1명이 5060 남성,-2,negative
20251127,인천일보,[우크라이나의 창] 가까운 죽음의 그림자,0,neutral
20251127,세계일보,"마지막 가는 길, 울어줄 사람 있습니까? 은퇴 후 고립, 고독사 절반 5060男",-2,negative
20251127,뉴스핌,"홍콩 77년 만의 '최악 참사'... 아파트 화재 사망자 55명, 실종 부상 '수백 명'",-6,negative
20251127,브레이크뉴스,"영동군, ‘찾아가는 통통군수실’ 맞춤형 복지정책 논의",-1,negative
20251127,광주매일신문,보성군 숲 가꾸기 부산물로 ‘사랑의 땔감’ 나눔,2,positive
20251127,경남일보,"경남은행 하동지점, 김장김치 100박스 기탁",1,positive
20251127,경남일보,"함안군 가야읍 새마을협의회 부녀회, 사랑의 김장 나누기",1,positive
20251127,새전북신문,"익산시, 어르신 사회참여 확대와 삶의 질 향상에 힘써",3,positive
20251127,새전북신문,"장수군, 제1호 독거노인 공동돌봄센터 운영으로 돌봄 공백 해소",0,neutral
20251127,새전북신문,"장수군 산서면, 제6차 지역사회보장협의체 회의",2,positive
20251127,KBS,"지난해 고독사 3,924명 “50 60대 남성 특히 취약”",-1,negative
20251127,새전북신문,"해리농협 NH농협 고창군지부, 김장김치 나눔",7,positive
20251127,새전북신문,"고창군, ‘고독사 제로화’ 본격 추진",4,positive
20251127,경북일보,"군위 새마을부녀회, 취약계층에 '사랑의 김장' 전달",4,positive
20251127,금강일보,지난해 고독사 절반은 5060 남성,0,neutral
20251127,매일경제,"1인가구 그늘  고독사 4천명, 절반은 '50 60男'",0,neutral
20251127,중앙일보,"UST, 지역사회공헌 인정제 2년 연속 선정",3,positive
20251127,KBS,"지난해 고독사 3,924명 “5 60대 남성 특히 취약”",0,neutral
20251127,경북도민일보,"기부천사 김기준 전 왜관지사협 위원, 김장김치 후원",4,positive
20251127,서울신문,“어리석었다” 섣불리 ‘은퇴이민’ 갔다가 후회 日노부부가 맞닥뜨린 현실,1,positive
20251127,한국일보,지난해 고독사 3924명 50 60대 남성 가장 취약,0,neutral
20251127,경북도민일보,"경북하나센터, 구미서 ‘통일김장나눔 행사’ 개최...북한이탈주민  지역 주민 함께 200박스 전달",2,positive
20251127,강원도민일보,"11월 으뜸봉사상에 안원모 김옥희 씨, 무궁화봉사회 정선읍자율방범대 선정",0,neutral
20251127,경북도민일보,"경산시 진량읍 새마을부녀회, 사랑 가득한 국 나눔 행사 실시",3,positive
20251127,경북도민일보,상대동 바르게살기위원회 노후 LED교체 봉사,2,positive
20251127,경북도민일보,상주 바르게살기여성회 사랑의 김장나눔 이웃사랑 실천,1,positive
20251127,쿠키뉴스,"부산 기장군, 사랑의 김장담그기 행사 700포기 취약계층 전달",2,positive
20251127,남도일보,'외로운 죽음' 고독사 작년 광주 전남 231명,-2,negative
20251127,프레시안,"순창군, 노인일자리 3380명 모집 12월 19일까지 접수",0,neutral
20251127,경기일보,"경기일보 경기알파팀 박귀빈기자, 자살 예방 우수보도상 ‘영예’",14,positive
20251127,부산일보,수영구 망미1동 지역사회보장협의체와 함께 ‘도도수영 즐기기’ 추진,-2,negative
20251127,디지털타임스,지난해 고독사 3924명 50~60대 男 취약,0,neutral
20251127,대구신문,"영주소방서 풍기 여성의용소방대, 사랑의 김장 나눔 행사",1,positive
20251127,매일경제,‘자존심 때문에 말 못하는 중장년남성’ 고독사 급증,1,positive
20251127,아시아경제,"부산 기장군, 여성단체협의회와 ‘사랑의 김장담그기’ 행사 개최",3,positive
20251127,경북매일신문,싱글라이제이션,-2,negative
20251127,부산일보,부산 지난해 367명 홀로 죽음 맞이했다 고독사 최근 5년간 중 최다,2,positive
20251127,충북일보,"남양유업세종공장, 김치 150㎏ 기부",6,positive
20251127,대전일보,영동우체국사랑전도사 한우송 집배원 이웃사랑봉사귀감,-1,negative
20251127,부산일보,"기장군, 사랑의 김장담그기 행사 개최",3,positive
20251127,대전일보,영동군 찾아가는 통통군수실 전개,1,positive
